model,metric,n_pairs,mean_no_desc,mean_with_desc,delta_mean,wilcoxon_stat,p_value,significant_0.05
deepseek-r1,fuzzy_match_accuracy,400,0.0990915404040404,0.1305143883893884,0.03142284798534799,3625.5,0.008719197139990992,True
gemini-2.5-flash-lite,fuzzy_match_accuracy,400,0.12592469336219334,0.2036809926184926,0.07775629925629926,4646.5,1.298120263209985e-06,True
gpt-4.1-mini,fuzzy_match_accuracy,400,0.11162310606060606,0.18211091686091688,0.07048781080031082,2249.0,8.864224515093694e-08,True
gpt-4.1-nano,fuzzy_match_accuracy,400,0.15468849206349206,0.16260118353868358,0.007912691475191524,3798.0,0.5181779431527904,False
gpt-oss-120b,fuzzy_match_accuracy,400,0.1072086038961039,0.12652978271728274,0.01932117882117884,2256.5,0.06558098205997887,False
gpt-oss-20b,fuzzy_match_accuracy,400,0.10630113636363635,0.12641705516705515,0.0201159188034188,3150.5,0.037699733921780366,True
grok-4-fast,fuzzy_match_accuracy,400,0.05148511904761906,0.087,0.03551488095238094,1370.5,0.0003901324671162141,True
llama-3.1-405b-instruct,fuzzy_match_accuracy,400,0.1280069375069375,0.23025656981906983,0.10224963231213233,4772.0,2.721840387358045e-10,True
meta-llama-3-1-70b-instruct,fuzzy_match_accuracy,400,0.13304401154401155,0.24066539016539018,0.10762137862137863,4206.5,5.014072219774736e-12,True
meta-llama-3-1-8b-instruct,fuzzy_match_accuracy,400,0.125637987012987,0.1776180486180486,0.051980061605061606,5024.0,8.98838199071844e-05,True
qwen3-14b,fuzzy_match_accuracy,400,0.0919237012987013,0.14529706404706402,0.05337336274836273,3352.5,5.365535939812431e-06,True
qwen3-32b,fuzzy_match_accuracy,400,0.10260362554112554,0.15691863691863692,0.05431501137751138,4259.0,8.157974744381318e-05,True
