model,metric,n_pairs,mean_no_desc,mean_with_desc,delta_mean,wilcoxon_stat,p_value,significant_0.05
deepseek-r1,overall_accuracy_weighted,400,0.09689983766233766,0.133652331002331,0.03675249333999335,10276.5,3.377479654869305e-05,True
gemini-2.5-flash-lite,overall_accuracy_weighted,400,0.11727345779220778,0.19817454906204904,0.08090109126984125,10191.5,7.0111590482449445e-12,True
gpt-4.1-mini,overall_accuracy_weighted,400,0.11449149531024531,0.17777276681651683,0.06328127150627151,7464.0,1.3178436994350814e-08,True
gpt-4.1-nano,overall_accuracy_weighted,400,0.13766656746031744,0.14756104451104451,0.009894477050727074,7155.0,0.15723805455682155,False
gpt-oss-120b,overall_accuracy_weighted,400,0.09986253607503606,0.11572277722277721,0.01586024114774115,7673.5,0.06521936100325285,False
gpt-oss-20b,overall_accuracy_weighted,400,0.10812974247974246,0.1250716443278943,0.01694190184815185,9124.0,0.020374797259622112,True
grok-4-fast,overall_accuracy_weighted,400,0.06589398448773448,0.11403595709845708,0.0481419726107226,7026.0,7.010978232798667e-13,True
llama-3.1-405b-instruct,overall_accuracy_weighted,400,0.11699272949272947,0.20464426406926406,0.08765153457653459,10116.0,1.2176760702371566e-10,True
meta-llama-3-1-70b-instruct,overall_accuracy_weighted,400,0.13121628787878786,0.21749381313131308,0.08627752525252522,9469.5,5.944757739821017e-13,True
meta-llama-3-1-8b-instruct,overall_accuracy_weighted,400,0.1270875631313131,0.16578807026307024,0.03870050713175713,12998.5,1.253718866610403e-05,True
qwen3-14b,overall_accuracy_weighted,400,0.09360716297591296,0.14527253787878786,0.0516653749028749,9891.0,9.287006983281617e-07,True
qwen3-32b,overall_accuracy_weighted,400,0.09924531232656232,0.1482954441391941,0.04905013181263178,9871.5,1.3788818506504632e-05,True
